hidden_layers,activation,learning_rate,batch_size,best_val_mse,best_epoch,epochs,final_train_mse
"(128, 64)",ReLU,0.01,16,0.8188380599021912,564,584,0.6684723794460297
"(128, 64)",ReLU,0.01,32,0.8335675001144409,998,1000,0.6404692530632019
"(64, 64)",ReLU,0.01,16,0.8605259656906128,628,648,0.6994299292564392
"(128, 64)",ReLU,0.01,8,0.8672095537185669,211,231,0.803215317428112
"(64, 64)",ReLU,0.01,8,0.871433675289154,286,306,0.7338340729475021
"(64, 64)",ReLU,0.01,32,0.8928044438362122,1000,1000,0.7006264925003052
"(32, 32)",ReLU,0.01,8,0.950110673904419,166,186,0.7846318334341049
"(64,)",ReLU,0.01,32,0.9561843276023865,1000,1000,0.753734827041626
"(32, 32)",ReLU,0.01,16,0.9641168117523193,233,253,0.7832364737987518
"(32, 32)",ReLU,0.01,32,0.9666921496391296,444,464,0.7885467410087585
"(64,)",ReLU,0.01,8,0.972863495349884,143,163,0.8354237005114555
"(64, 64)",ReLU,0.001,8,0.9776102304458618,777,797,0.8269053250551224
"(32, 32)",ReLU,0.001,16,0.9857937693595886,1000,1000,0.8552338778972626
"(64, 64)",ReLU,0.001,16,0.9919016361236572,1000,1000,0.8518874645233154
"(128,)",ReLU,0.01,16,0.9941766262054443,17,37,0.9305334389209747
"(128,)",ReLU,0.01,8,0.9946947693824768,6,26,0.8301466852426529
"(32,)",ReLU,0.01,8,0.9966477155685425,71,91,0.834272488951683
"(64,)",ReLU,0.01,16,0.9972680807113647,96,116,0.8310090005397797
"(32,)",ReLU,0.01,32,0.9990326166152954,265,285,0.8292700052261353
"(32,)",ReLU,0.01,16,0.9999658465385437,71,91,0.8477155864238739
"(32,)",ReLU,0.001,16,1.0018469095230103,739,759,0.8595848381519318
"(128,)",ReLU,0.01,32,1.002469778060913,38,58,0.8463450074195862
"(64,)",ReLU,0.001,16,1.0026460886001587,715,735,0.8431906998157501
"(32,)",ReLU,0.001,8,1.0063594579696655,274,294,0.8833233267068863
"(128, 64)",ReLU,0.001,16,1.0077521800994873,654,674,0.8626909255981445
"(64,)",ReLU,0.001,8,1.0079772472381592,249,269,0.866779699921608
"(32,)",ReLU,0.001,32,1.0083292722702026,1000,1000,0.8911926746368408
"(64,)",ReLU,0.001,32,1.008371353149414,1000,1000,0.8688700199127197
"(32, 32)",ReLU,0.001,32,1.0100207328796387,1000,1000,0.9244374632835388
"(32,)",Tanh,0.01,8,1.010314702987671,71,91,0.9223186671733856
"(128,)",ReLU,0.001,8,1.011212944984436,3,23,0.9301932901144028
"(128,)",ReLU,0.001,16,1.0114399194717407,4,24,0.9693743288516998
