hidden_layers,activation,learning_rate,batch_size,best_val_mse,best_epoch,epochs,final_train_mse
"(128, 64)",ReLU,0.01,32,0.7707251906394958,998,1000,0.6703888773918152
"(128, 64)",ReLU,0.01,8,0.7873451709747314,182,202,0.6979324370622635
"(64,)",ReLU,0.01,8,0.8347961902618408,195,215,0.7977628968656063
"(64, 64)",ReLU,0.01,8,0.8743876814842224,75,95,0.8401309996843338
"(128,)",ReLU,0.01,16,0.8974210619926453,2,22,0.9091443419456482
"(128,)",ReLU,0.01,8,0.8994637727737427,1,21,0.9601351767778397
"(128,)",ReLU,0.001,8,0.9019542932510376,32,52,0.9525235444307327
"(128, 64)",Tanh,0.01,8,0.9037546515464783,13,33,0.9632829874753952
"(64, 64)",Tanh,0.01,8,0.9038392305374146,2,22,0.989382266998291
"(128,)",ReLU,0.001,16,0.9047227501869202,34,54,0.9617765247821808
"(128,)",ReLU,0.01,32,0.9054316282272339,7,27,0.9245884418487549
"(128,)",ReLU,0.001,32,0.9060563445091248,83,103,0.946128249168396
"(32, 32)",ReLU,0.01,16,0.9065427184104919,126,146,0.8748472034931183
"(128, 64)",Tanh,0.001,32,0.9076350927352905,1,21,0.9969418048858643
"(128, 64)",Tanh,0.001,8,0.9077774286270142,1,21,0.9478387124836445
"(32, 32)",ReLU,0.01,32,0.9078288674354553,216,236,0.8996598124504089
"(128, 64)",Tanh,0.001,16,0.9079440236091614,1,21,0.972535103559494
"(64, 64)",Tanh,0.001,32,0.9082744717597961,1,21,1.012422800064087
"(64, 64)",Tanh,0.001,16,0.9083905816078186,1,21,1.0199170112609863
"(64, 64)",Tanh,0.001,8,0.9085328578948975,1,21,1.0350391417741776
"(128, 64)",Tanh,0.01,32,0.9100202918052673,1,21,0.9868249297142029
"(64, 64)",Tanh,0.01,32,0.9103967547416687,1,21,1.0026496648788452
"(64, 64)",Tanh,0.01,16,0.9104667901992798,1,21,1.0105405151844025
"(64, 64)",ReLU,0.01,16,0.9107175469398499,4,24,0.9765312373638153
"(64, 64)",ReLU,0.001,8,0.9113529324531555,4,24,0.9866397231817245
"(64, 64)",ReLU,0.001,16,0.9118301868438721,2,22,0.9889300167560577
"(64, 64)",ReLU,0.001,32,0.9118824005126953,1,21,0.9952098727226257
"(64, 64)",ReLU,0.01,32,0.9119678139686584,1,21,0.9798879027366638
"(128,)",Tanh,0.01,8,0.9121771454811096,1,21,1.0714655816555023
"(32, 32)",ReLU,0.001,32,0.9128214716911316,1000,1000,0.9588267207145691
"(32, 32)",ReLU,0.01,8,0.9129027724266052,13,33,0.9492907226085663
"(32, 32)",ReLU,0.001,8,0.9130761027336121,144,164,1.0111266523599625
"(128, 64)",ReLU,0.01,16,0.9133066534996033,59,79,0.9103408455848694
"(32, 32)",ReLU,0.001,16,0.9135473966598511,314,334,0.9468899369239807
"(128, 64)",Tanh,0.01,16,0.9150730967521667,1,21,0.9731386303901672
"(128,)",Tanh,0.01,16,0.9152888655662537,1,21,1.0143848061561584
"(64,)",Tanh,0.01,8,0.9183486104011536,8,28,0.9673643261194229
"(128, 64)",ReLU,0.001,32,0.9200401306152344,1000,1000,0.9262476563453674
"(128, 64)",ReLU,0.001,16,0.922230064868927,177,197,0.9847905337810516
"(128, 64)",ReLU,0.001,8,0.9222400784492493,71,91,0.9866154678165913
"(32,)",Tanh,0.01,8,0.9251033663749695,35,55,0.9512651115655899
